sale_id,product_id,units_sold,revenue,date
40001,2013,53,9245.58,2023-01-18
40002,2003,99,5252.96,2023-03-21
40003,2009,95,7733.66,2023-04-13
40004,2014,96,1403.11,2023-03-14
40005,2011,91,1975.22,2023-11-11
40006,2014,11,1952.87,2023-10-01
40007,2002,93,6955.63,2023-01-28
40008,2015,44,2736.53,2023-08-31
40009,2012,76,7060.08,2023-11-15
40010,2012,71,2415.51,2023-11-20
40011,2005,71,4229.47,2023-02-06
40012,2002,1,6261.8,2023-05-11
40013,2016,25,5050.91,2023-01-23
40014,2002,49,4292.3,2023-02-26
40015,2011,25,9331.25,2023-08-10
40016,2014,80,168.46,2023-05-26
40017,2004,86,1483.98,2023-07-22
40018,2013,18,2493.31,2023-07-12
40019,2008,36,1661.75,2023-01-13
40020,2007,80,3409.59,2023-03-23
40021,2012,28,3829.12,2023-08-13
40022,2018,55,6975.73,2023-01-25
40023,2015,35,124.49,2023-11-07
40024,2001,77,2486.7,2023-07-01
40025,2005,29,7614.17,2023-09-08
40026,2019,20,6119.56,2023-05-09
40027,2018,100,2250.76,2023-01-09
40028,2002,23,2775.11,2023-11-29
40029,2019,45,2875.05,2023-03-10
40030,2003,89,3909.25,2023-02-22
40031,2006,8,1781.23,2023-08-17
40032,2004,80,6618.13,2023-10-01
40033,2012,21,8936.92,2023-06-12
40034,2009,33,2106.81,2023-01-23
40035,2008,39,6805.17,2023-12-05
40036,2001,22,76.56,2023-12-18
40037,2001,44,7657.65,2023-11-16
40038,2007,81,7576.83,2023-03-25
40039,2010,11,7260.83,2023-12-12
40040,2004,88,7982.41,2023-09-04
40041,2007,55,6577.02,2023-10-14
40042,2014,51,5763.81,2023-10-17
40043,2020,36,221.18,2023-02-18
40044,2016,71,4461.41,2024-01-06
40045,2020,10,1160.55,2023-06-05
40046,2008,71,376.23,2024-01-13
40047,2017,10,2298.55,2023-09-11
40048,2005,78,1730.21,2023-02-28
40049,2017,23,2068.08,2023-11-23
40050,2011,40,6433.42,2023-02-01
40051,2005,73,819.71,2023-07-14
40052,2009,41,1149.02,2023-03-28
40053,2005,30,8175.6,2023-08-29
40054,2003,60,7149.89,2023-04-21
40055,2003,42,5282.99,2023-12-19
40056,2010,97,9935.2,2023-01-29
40057,2005,44,5857.88,2023-11-10
40058,2016,40,8138.61,2023-01-15
40059,2017,66,3467.96,2023-01-28
40060,2004,70,3684.56,2023-05-28
40061,2012,44,1885.73,2023-04-11
40062,2005,9,100.28,2023-01-17
40063,2015,24,1590.92,2023-06-29
40064,2009,91,6705.69,2023-03-18
40065,2006,83,4916.71,2023-02-05
40066,2007,22,4091.81,2023-09-30
40067,2005,68,3281.44,2023-08-16
40068,2011,93,1597.1,2023-08-17
40069,2002,31,3412.97,2023-12-04
40070,2013,60,5047.73,2023-06-07
40071,2005,38,980.98,2023-03-30
40072,2018,36,5570.91,2023-09-12
40073,2012,47,9864.44,2024-01-15
40074,2009,55,5767.36,2023-07-02
40075,2020,36,8743.67,2023-11-08
40076,2018,31,1292.05,2023-05-24
40077,2003,35,6126.34,2023-07-24
40078,2013,68,6385.11,2024-01-09
40079,2018,25,2427.86,2023-09-22
40080,2015,78,5952.36,2023-10-18
40081,2008,45,7460.73,2023-08-09
40082,2011,54,8740.96,2023-03-02
40083,2019,100,5134.77,2024-01-06
40084,2016,52,8312.78,2023-02-16
40085,2002,89,923.96,2023-11-09
40086,2018,63,2919.26,2023-05-02
40087,2002,85,8917.28,2023-04-16
40088,2013,38,1794.65,2023-10-14
40089,2020,29,1823.49,2023-04-18
40090,2020,60,7867.63,2023-01-07
40091,2019,39,9685.26,2023-08-31
40092,2006,36,8925.84,2023-10-07
40093,2011,22,3333.82,2023-09-08
40094,2016,35,9966.67,2023-02-26
40095,2017,95,1468.22,2023-10-21
40096,2017,30,4493.7,2023-07-14
40097,2018,71,7980.99,2023-05-13
40098,2020,12,1066.05,2023-06-13
40099,2009,95,9621.67,2023-07-12
40100,2003,92,7454.09,2023-09-17
40101,2003,2,5560.25,2023-08-17
40102,2002,31,7727.32,2023-04-26
40103,2008,72,9309.23,2023-03-12
40104,2007,91,6752.04,2023-03-21
40105,2003,58,4447.68,2023-09-02
40106,2007,45,8297.06,2023-01-16
40107,2018,3,3505.42,2023-12-08
40108,2015,44,8177.32,2023-09-24
40109,2005,1,369.64,2023-12-21
40110,2006,83,7060.23,2023-11-14
40111,2004,19,6022.87,2023-11-28
40112,2006,60,2169.4,2023-12-07
40113,2009,76,8902.63,2023-10-28
40114,2003,42,4335.98,2023-11-27
40115,2020,69,7014.54,2023-09-18
40116,2007,15,4107.68,2023-08-23
40117,2012,46,1911.45,2023-07-29
40118,2001,33,8406.37,2023-07-19
40119,2009,50,7583.03,2023-11-15
40120,2014,8,8345.61,2023-04-26
40121,2002,36,1213.92,2023-08-19
40122,2002,71,9202.87,2023-03-09
40123,2017,74,4222.79,2023-01-30
40124,2005,48,7738.53,2023-12-31
40125,2005,27,9836.14,2023-11-18
40126,2012,23,611.01,2023-03-22
40127,2020,1,9743.82,2023-08-01
40128,2015,70,9538.82,2023-12-31
40129,2009,98,9057.3,2023-07-13
40130,2001,68,591.36,2024-01-15
40131,2020,86,7953.01,2023-07-01
40132,2020,2,2636.18,2023-07-10
40133,2010,49,4594.35,2023-05-26
40134,2018,59,4973.48,2024-01-02
40135,2006,76,4177.02,2023-02-13
40136,2006,63,4603.69,2024-02-01
40137,2001,54,7245.43,2023-12-11
40138,2015,61,3917.51,2023-08-15
40139,2020,79,5243.63,2023-11-19
40140,2003,25,3729.78,2023-09-20
40141,2008,65,7375.39,2023-09-17
40142,2014,5,9574.64,2023-09-17
40143,2001,93,2368.35,2023-07-22
40144,2012,35,5701.6,2023-10-23
40145,2013,30,488.12,2023-02-22
40146,2018,43,4207.56,2023-12-13
40147,2002,2,6390.21,2023-12-14
40148,2015,94,7603.26,2023-04-09
40149,2019,78,7117.43,2023-04-17
40150,2011,23,7978.89,2023-04-20
40151,2004,45,3748.87,2023-10-18
40152,2009,93,6330.1,2023-03-15
40153,2008,93,4941.83,2023-04-06
40154,2006,64,1592.6,2023-09-13
40155,2003,41,799.18,2023-10-27
40156,2015,34,1915.36,2023-10-19
40157,2009,44,7394.61,2023-10-23
40158,2002,98,8125.41,2023-03-06
40159,2010,52,8081.36,2023-09-04
40160,2002,8,4781.69,2024-01-06
40161,2006,60,9063.34,2023-09-05
40162,2016,10,1210.91,2023-04-13
40163,2017,78,9966.6,2023-06-06
40164,2014,22,3326.25,2023-05-17
40165,2013,54,5850.21,2023-03-25
40166,2010,18,6626.58,2023-08-06
40167,2019,13,3975.86,2023-12-30
40168,2001,54,2895.45,2023-01-09
40169,2005,87,5192.73,2023-09-27
40170,2005,67,1098.42,2023-03-19
40171,2012,5,193.53,2023-11-19
40172,2008,1,320.23,2024-01-19
40173,2001,15,5942.5,2023-02-08
40174,2013,6,5341.03,2023-01-10
40175,2020,41,7126.58,2023-09-09
40176,2004,91,860.24,2023-08-27
40177,2009,88,984.44,2023-04-28
40178,2001,47,601.34,2023-05-26
40179,2006,30,4665.33,2023-05-09
40180,2001,28,3145.68,2023-06-30
40181,2009,55,1681.28,2023-01-25
40182,2015,49,2690.46,2023-05-30
40183,2016,78,4382.84,2023-04-07
40184,2008,10,7340.09,2023-04-03
40185,2016,71,2561.13,2023-07-17
40186,2014,36,2385.03,2023-08-24
40187,2011,23,9330.61,2023-01-06
40188,2015,87,130.64,2023-01-16
40189,2015,38,9359.78,2023-05-21
40190,2018,10,7067.34,2023-03-30
40191,2007,74,143.16,2023-12-05
40192,2016,87,2201.22,2023-07-10
40193,2010,7,7470.17,2024-01-13
40194,2019,75,9225.15,2023-05-11
40195,2012,70,6714.71,2024-01-18
40196,2004,79,9565.04,2023-03-03
40197,2004,22,7733.5,2023-12-15
40198,2012,34,3717.0,2024-01-03
40199,2006,83,8868.42,2023-03-15
40200,2009,17,9980.37,2023-12-23
40201,2014,65,2850.24,2024-01-22
40202,2011,35,4756.05,2023-07-24
40203,2004,10,9825.57,2023-02-28
40204,2014,48,3206.59,2024-01-22
40205,2001,89,4604.55,2023-07-14
40206,2006,59,370.46,2023-01-10
40207,2012,51,6102.35,2023-10-04
40208,2017,85,5473.85,2023-03-25
40209,2005,43,7202.99,2023-10-20
40210,2005,94,7337.85,2023-12-26
40211,2017,8,5952.96,2023-04-21
40212,2014,27,242.61,2023-05-12
40213,2001,73,2244.47,2023-06-28
40214,2014,14,3592.56,2023-01-25
40215,2014,51,5943.77,2023-07-17
40216,2002,98,3395.43,2023-10-27
40217,2007,83,2601.18,2023-03-21
40218,2015,53,4744.29,2023-08-03
40219,2002,86,1224.08,2023-01-27
40220,2017,20,8516.73,2023-03-06
40221,2002,68,9374.04,2023-05-29
40222,2012,85,4513.61,2023-12-05
40223,2017,13,1311.72,2023-12-10
40224,2006,7,7443.54,2023-07-18
40225,2003,45,5375.19,2023-01-01
40226,2017,85,6360.01,2023-05-25
40227,2013,29,7269.37,2023-03-13
40228,2001,94,4020.18,2023-12-05
40229,2014,81,2523.28,2023-02-03
40230,2016,13,1078.12,2023-03-14
40231,2013,11,908.55,2023-03-31
40232,2016,14,4928.08,2023-09-16
40233,2013,3,3840.9,2023-04-07
40234,2010,95,3093.44,2023-10-27
40235,2013,14,3466.09,2023-03-05
40236,2010,23,6511.32,2023-08-31
40237,2002,47,4622.72,2024-01-10
40238,2014,72,2311.0,2023-02-14
40239,2009,44,1508.02,2024-02-01
40240,2014,80,2714.72,2023-03-03
40241,2018,51,6576.13,2023-05-15
40242,2010,49,5455.21,2023-09-26
40243,2001,62,4846.96,2023-03-30
40244,2003,25,8458.38,2024-01-20
40245,2013,35,8061.54,2023-01-03
40246,2018,55,634.77,2023-03-03
40247,2001,96,4937.99,2023-09-15
40248,2013,64,6200.03,2023-11-06
40249,2011,82,5054.06,2023-12-23
40250,2003,85,3203.45,2023-03-30
40251,2006,91,9273.58,2023-08-07
40252,2005,23,433.92,2023-04-24
40253,2007,51,1940.55,2023-08-07
40254,2019,94,9338.94,2023-06-13
40255,2018,31,2419.05,2023-10-02
40256,2014,96,1147.78,2023-02-07
40257,2019,99,6280.74,2023-09-18
40258,2008,50,9448.04,2023-12-28
40259,2006,64,7637.5,2023-10-30
40260,2018,64,9397.99,2024-01-07
40261,2008,79,7009.5,2023-03-11
40262,2007,60,3023.37,2023-03-19
40263,2006,4,3938.83,2024-01-10
40264,2011,73,3267.4,2023-01-11
40265,2002,78,5027.1,2024-01-07
40266,2015,4,4783.27,2023-12-06
40267,2011,54,1959.5,2023-01-31
40268,2003,34,463.54,2023-02-15
40269,2013,86,2921.61,2023-06-07
40270,2019,91,6332.21,2023-08-10
40271,2009,65,8717.76,2023-02-10
40272,2006,87,1831.77,2023-09-03
40273,2016,87,544.76,2023-08-24
40274,2005,83,5618.57,2023-08-09
40275,2013,27,4758.48,2023-04-08
40276,2011,2,6683.28,2023-12-05
40277,2005,46,5030.25,2023-09-16
40278,2019,90,6821.92,2023-11-09
40279,2014,26,2371.05,2024-02-01
40280,2012,41,1137.83,2023-12-09
40281,2003,2,1870.35,2023-06-09
40282,2007,3,5305.47,2023-12-30
40283,2020,30,8886.65,2023-05-12
40284,2013,30,8662.11,2023-01-21
40285,2017,44,1934.9,2023-03-13
40286,2004,7,3194.68,2024-01-18
40287,2007,37,5015.19,2023-04-14
40288,2003,79,1457.77,2023-10-26
40289,2020,43,4452.45,2023-12-14
40290,2019,64,5872.93,2023-08-29
40291,2011,52,4181.44,2023-08-11
40292,2006,25,3165.67,2024-01-04
40293,2014,70,6178.95,2023-01-26
40294,2015,61,4087.12,2023-01-09
40295,2020,31,2582.92,2023-12-16
40296,2009,2,2189.87,2023-04-20
40297,2002,77,9231.01,2023-05-10
40298,2008,81,4777.64,2023-01-25
40299,2014,57,641.49,2023-09-26
40300,2013,59,1706.53,2023-06-06
40301,2013,37,1207.08,2023-09-09
40302,2008,60,9934.83,2023-07-03
40303,2004,49,6785.08,2023-11-03
40304,2014,72,6714.72,2023-03-06
40305,2005,55,7806.37,2023-07-05
40306,2016,100,5368.6,2024-01-18
40307,2001,94,3082.6,2024-01-19
40308,2004,72,473.53,2023-07-02
40309,2008,59,6991.8,2024-01-30
40310,2018,14,7860.99,2023-08-26
40311,2013,30,1497.01,2023-03-12
40312,2008,93,5713.8,2023-11-16
40313,2008,32,4618.14,2023-01-10
40314,2014,56,150.3,2023-05-18
40315,2010,42,4756.23,2024-01-26
40316,2002,13,5209.47,2023-02-15
40317,2005,77,8180.22,2023-03-28
40318,2013,95,4489.95,2023-08-16
40319,2013,88,9452.99,2023-02-17
40320,2014,30,9821.03,2023-10-04
40321,2017,39,8522.31,2023-06-26
40322,2010,27,1289.41,2023-09-01
40323,2017,44,798.12,2024-01-08
40324,2004,70,7305.62,2023-07-21
40325,2015,45,7261.0,2023-02-14
40326,2015,29,9956.12,2023-03-05
40327,2006,53,1686.75,2023-06-05
40328,2002,66,2526.49,2023-11-01
40329,2020,98,1148.75,2023-02-21
40330,2014,71,388.76,2023-10-26
40331,2009,27,4164.55,2024-01-12
40332,2010,5,9985.75,2023-01-03
40333,2015,7,6268.82,2023-07-20
40334,2001,21,9442.25,2024-01-03
40335,2018,3,3509.66,2023-12-16
40336,2012,27,6908.89,2023-05-24
40337,2010,18,9134.98,2024-01-29
40338,2014,53,5812.94,2023-08-08
40339,2001,28,495.57,2023-11-22
40340,2011,82,9167.84,2023-05-17
